"Dispersal.unit.dry.mass" "Fine.root.length.per.fine.root.dry.mass..specific.fine.root.length..SRL." "Leaf.area..in.case.of.compound.leaves.undefined.if.leaf.or.leaflet..undefined.if.petiole.is.in..or.excluded." "Leaf.area..in.case.of.compound.leaves..leaf..petiole.excluded." "Leaf.area..in.case.of.compound.leaves..leaf..petiole.included." "Leaf.area..in.case.of.compound.leaves..leaf..undefined.if.petiole.in..or.excluded." "Leaf.area..in.case.of.compound.leaves..leaflet..petiole.excluded." "Leaf.area..in.case.of.compound.leaves..leaflet..petiole.included." "Leaf.area..in.case.of.compound.leaves..leaflet..undefined.if.petiole.is.in..or.excluded." "Leaf.area.per.leaf.dry.mass..specific.leaf.area..SLA.or.1.LMA...petiole.excluded" "Leaf.area.per.leaf.dry.mass..specific.leaf.area..SLA.or.1.LMA...petiole.included" "Leaf.area.per.leaf.dry.mass..specific.leaf.area..SLA.or.1.LMA...undefined.if.petiole.is.in..or.excluded" "Leaf.carbon..C..isotope.signature..delta.13C." "Leaf.carbon.nitrogen..C.N..ratio" "Leaf.chlorophyll.content.per.leaf.dry.mass" "Leaf.dry.mass.per.leaf.fresh.mass..leaf.dry.matter.content..LDMC." "Leaf.lifespan..longevity." "Leaf.nitrogen..N..content.per.leaf.dry.mass" "Leaf.phosphorus..P..content.per.leaf.dry.mass" "Leaf.thickness" "Leaf.width" "Plant.height.vegetative" "Plant.lifespan..longevity." "Root.length.per.root.dry.mass..specific.root.length..SRL." "Root.rooting.depth" "Root.shoot.ratio" "Seed.dry.mass" "Species.environmental.indicator.value.according.to.Ellenberg..continentality" "Species.environmental.indicator.value.according.to.Ellenberg..light" "Species.environmental.indicator.value.according.to.Ellenberg..moisture" "Species.environmental.indicator.value.according.to.Ellenberg..nitrogen" "Species.environmental.indicator.value.according.to.Ellenberg..pH" "Species.environmental.indicator.value.according.to.Ellenberg..salt.tolerance" "Species.environmental.indicator.value.according.to.Ellenberg..temperature" "Stem.specific.density..SSD..or.wood.density..stem.dry.mass.per.stem.fresh.volume."
"Fagus sylvatica" 254.349666666667 2394.60922101667 1978.47156498195 2027.7 1905.71964766839 2402.829 2022.93488721805 NA 1612.82450788136 14.2486875566496 28.5942356027787 29.1200270196269 NA 20.7485270615417 NA 0.433101193559713 9.0002400096004 23.4343838017675 1.42292399825712 0.133003287981927 NA 9.98348878923767 442.142857142857 NA 0.866666666666667 1.41751690699537 774.086914035088 2 2.33333333333333 4.33333333333333 4 2.5 0 4 0.662314979991487
"Fraxinus excelsior" 68.3181111111111 1323.76 3162 16047 14726.5916666667 13379.7988055154 1975.59134353742 NA 7013.5149382716 13.3535363152482 17.2303355674795 15.1508894150387 -26.4915 20.7714108135937 NA 0.341267965094372 5 23.2169696459158 1.82924926132851 0.175078869047692 NA 15.1797432432432 236.363636363636 NA 0.04 NA 57.9779529494849 2 3.5 5 5.5 6 0 4 0.599308995535558
"Larix decidua" NA 1539 NA 20.675 20.735 16.6225 19.9799128174887 NA 16.6225 9.8743729573187 NA 13.9069454626715 -27.4966666666667 30.1222222222222 NA 0.383184347017837 6 20.984144054045 1.90315963427167 0.253050154321358 0.075 35.1319887323944 529.5 NA 1.016 NA 5.92315893684369 NA 7 4.66666666666667 3 3.66666666666667 0 0 0.504277651644511
"Picea abies" NA 1394.252137935 103.709259259259 NA 22.2 19.8165 22.2 NA 18.62475 3.58853606550776 14.6262174766814 6.24614669426826 -26.4262962966667 38.5613534666098 10.5139524246186 0.408762601883033 103.2 12.9956154645045 1.15218172877647 0.584850308643333 NA 15.1060391013965 445.833333333333 NA 1.18434285714286 1.30839694386912 8.36336977419793 NA 7 3 4 1.5 0 0 0.456947793660138
"Pinus cembra" NA NA NA NA NA NA NA NA NA 3.30008175927273 NA NA -24.48 NA NA 0.46531785047 NA NA NA NA 1 15.7830188679245 928.571428571429 NA NA NA 244.956471363636 NA NA NA NA NA NA NA 0.471047327372873
"Pinus mugo" NA NA NA NA 5 NA NA NA NA NA NA 0.508 NA 65 NA NA NA NA NA NA 1.2 6.22674782608696 200 NA 0.4064 NA 14.5664137258788 NA NA NA NA NA NA NA 0.57407668465055
"Pinus sylvestris" NA 1426.31137483706 148.543529411765 71.7787878787879 145.891586206871 102.207394444444 71.6202482409681 137.904509689086 94.6098592592593 6.20566529008973 5.83837857533733 5.33054275661294 -20.8670116185422 39.3675408899644 2.1240949779282 0.406326172263785 33.4364444444444 12.5645898164948 1.14170143925775 1.33061810613935 0.243205882352941 12.1922396158771 490.833333333333 NA 1.25816923076923 0.340411977666667 7.71514310242187 NA 7 3 2 1 0 0 0.438777161447159
"Populus nigra" NA NA 3162 1558 2834.5 NA 2797.9 2880.73 NA 11.5430338160922 10.838 14.1425 NA 32.2558121635 NA 0.307846 9 17.6406428571429 1.20583333333333 0.236 6.25 28.6948157894737 221.428571428571 NA 0.8128 NA 0.77555 NA 6 8 7 7 0 NA 0.391505
"Populus tremula" NA 4091 1739 NA 2214.17806666667 2928.592 2350.35909090909 2139.0111875 2928.592 14.2580153288449 13.1293682373 14.9456904340927 -28.901555815 22.4721902825951 4.35 0.36415601093452 NA 24.9674450963365 1.33228643339872 0.17898655914 NA 21.4717285714286 110 NA NA 1.66621026425 0.224717017791313 3 5 4.33333333333333 5.25 4 0 3 0.413283
"Quercus petraea" 774.65 1696.66666666667 2605.63333333333 2790.42638888889 3175 3500.31666666667 3461.10105238095 NA 3500.31666666667 13.4254447317188 NA 19.9894935279938 -26.07 24.2768065487132 NA 0.439446214042998 7.5 21.3302343321772 1.65034848484924 0.204066541919259 7.33333333333333 27.456112345679 640 NA 0.895 0.210727969 1639.08569411765 3 4.5 4 3 2 0 4.5 0.607062984125248
