"Di"	"SName"	"monoculture"	"sd"	"mean"	"CV"	"TS"	"Id"	"monoculture_relative"	"site"	"persists"
3.8505448569429	"SAuc"	0	0	0	NA	NA	23	0	"Bever"	FALSE
3.84390347447605	"FSyl"	0	0	0	NA	NA	24	0	"Bever"	FALSE
3.70032665350851	"ACam"	0	0	0	NA	NA	25	0	"Bever"	FALSE
3.63557912119768	"CSat"	0.199532	0.0209592308151715	0.198778181818182	0.105440298444537	9.48403992355933	26	0.0206456146900359	"Bever"	TRUE
3.51845846677564	"APse"	0	0	0	NA	NA	27	0	"Bever"	FALSE
3.50445226944713	"FExc"	0	0	0	NA	NA	28	0	"Bever"	FALSE
3.4407273141339	"CBet"	0	0	0	NA	NA	29	0	"Bever"	FALSE
5.91164313584738	"AVir"	0.098237	0.0467115555296545	0.09135	0.511347077500323	1.95561888197037	0	0.00716753329294663	"Davos"	TRUE
5.66081750476897	"PMon"	2.145289	0.159143413424382	2.13334181818182	0.0745981783453786	13.4051530771991	1	0.156523818220143	"Davos"	TRUE
5.59937170768693	"TBac"	1.484641	0.0838083801841493	1.48625090909091	0.0563891195433564	17.7339176085401	2	0.108321852210202	"Davos"	TRUE
5.45088151904219	"AAlb"	1.606998	0.110493783922239	1.59805363636364	0.0691427255055516	14.4628374523609	3	0.117249220423045	"Davos"	TRUE
5.43859590321483	"PCem"	1.37741	0.0903763403069229	1.36426545454545	0.0662454216705461	15.0953828171437	4	0.100498101866279	"Davos"	TRUE
5.12023310117073	"LDec"	1.062693	0.284564498558763	1.00735	0.282488210213692	3.53997074512786	5	0.0775358312823207	"Davos"	TRUE
4.66257804432037	"BPen"	0	0	0	NA	NA	6	0	"Davos"	FALSE
4.54173654409529	"QRob"	0	0	0	NA	NA	7	0	"Davos"	FALSE
4.54005779679717	"PAbi"	0	0	0	NA	NA	8	0	"Davos"	FALSE
4.32814443523422	"PSyl"	0.000204	0.000615083142938638	0.000185454545454545	3.3166247903554	0.301511344577764	9	1.48841759394232e-05	"Davos"	FALSE
4.25789614695819	"PNig"	0.000451	0.00135981616404571	0.00041	3.3166247903554	0.301511344577764	10	3.29057026896071e-05	"Davos"	FALSE
4.20036271601683	"AInc"	1.745483	0.493579025633641	1.65024363636364	0.29909463957774	3.34342334390143	11	0.127353314074863	"Davos"	TRUE
4.13823208797057	"UGla"	0.1945	0.0231956336408385	0.19308	0.12013483344126	8.32398040897063	12	0.0141910402951853	"Davos"	TRUE
