"SName"	"monoculture.t.ha."	"Id"	"Di"	"monoculture_relative"	"site"	"persists"
"QPub"	0	22	4.08073778979974	0	"Davos"	FALSE
"QRob"	0	23	4.54173654409529	0	"Davos"	FALSE
"SAlb"	0	24	3.90985874801175	0	"Davos"	FALSE
"SAri"	0.000976	25	4.02463010421773	6.76600084381875e-07	"Davos"	FALSE
"SAuc"	4.928638	26	3.8505448569429	0.00341671812160626	"Davos"	TRUE
"TBac"	0	6	5.59937170768693	0	"Davos"	FALSE
"TCor"	0	27	3.91611390270515	0	"Davos"	FALSE
"TPla"	0	28	4.10423678579605	0	"Davos"	FALSE
"UGla"	0	29	4.13823208797057	0	"Davos"	FALSE
"AAlb"	158.95054	0	5.45088151904219	0.0451226511020335	"Adelboden"	TRUE
"ACam"	4.474116	7	3.70032665350851	0.00127010562693292	"Adelboden"	TRUE
"AGlu"	114.262543	10	4.08238233777311	0.0324366866688222	"Adelboden"	TRUE
"AInc"	97.619777	11	4.20036271601683	0.027712162149492	"Adelboden"	TRUE
"APla"	23.142954	8	3.96011541644128	0.00656978855694614	"Adelboden"	TRUE
"APse"	137.369756	9	3.51845846677564	0.038996329121999	"Adelboden"	TRUE
"AVir"	0.428075	12	5.91164313584738	0.000121521316445373	"Adelboden"	FALSE
"BPen"	117.802323	13	4.66257804432037	0.0334415543334301	"Adelboden"	TRUE
"CAve"	0.433686	16	3.86108071747658	0.000123114159070089	"Adelboden"	FALSE
"CBet"	75.861934	14	3.4407273141339	0.0215355769147276	"Adelboden"	TRUE
"CSat"	0.017562	15	3.63557912119768	4.98547534757612e-06	"Adelboden"	FALSE
"FExc"	145.971928	18	3.50445226944713	0.0414383013598768	"Adelboden"	TRUE
"FSyl"	224.527474	17	3.84390347447605	0.0637385369821511	"Adelboden"	TRUE
"LDec"	436.761725	1	5.12023310117073	0.123987291467505	"Adelboden"	TRUE
"PAbi"	327.136039	2	4.54005779679717	0.0928669091070606	"Adelboden"	TRUE
"PCem"	275.538735	3	5.43859590321483	0.0782195405218545	"Adelboden"	TRUE
"PMon"	96.653006	4	5.66081750476897	0.0274377165859314	"Adelboden"	TRUE
"PNig"	178.467181	19	4.25789614695819	0.0506630071305606	"Adelboden"	TRUE
"PSyl"	227.875759	5	4.32814443523422	0.0646890433210737	"Adelboden"	TRUE
"PTre"	65.134866	20	3.96304498896519	0.018490392250921	"Adelboden"	TRUE
"QPet"	304.260292	21	3.86628219362894	0.0863729748896658	"Adelboden"	TRUE
"QPub"	127.940008	22	4.08073778979974	0.036319425797329	"Adelboden"	TRUE
"QRob"	163.484406	23	4.54173654409529	0.0464097184731879	"Adelboden"	TRUE
"SAlb"	37.641078	24	3.90985874801175	0.0106854951842153	"Adelboden"	TRUE
"SAri"	15.921683	25	4.02463010421773	0.00451982451249412	"Adelboden"	TRUE
"SAuc"	8.876642	26	3.8505448569429	0.00251988838744213	"Adelboden"	TRUE
"TBac"	134.496593	6	5.59937170768693	0.03818069973434	"Adelboden"	TRUE
"TCor"	0.001628	27	3.91611390270515	4.62154302804573e-07	"Adelboden"	FALSE
"TPla"	0.001087	28	4.10423678579605	3.08575999477009e-07	"Adelboden"	FALSE
"UGla"	21.579608	29	4.13823208797057	0.00612598813884275	"Adelboden"	TRUE
"AAlb"	122.24812	0	5.45088151904219	0.0224427900585807	"Huttwil"	TRUE
"ACam"	26.21141	7	3.70032665350851	0.00481199360586799	"Huttwil"	TRUE
"AGlu"	161.812395	10	4.08238233777311	0.0297061550710238	"Huttwil"	TRUE
"AInc"	113.296749	11	4.20036271601683	0.0207994622095351	"Huttwil"	TRUE
"APla"	104.355211	8	3.96011541644128	0.0191579395412534	"Huttwil"	TRUE
"APse"	182.025948	9	3.51845846677564	0.0334170385293297	"Huttwil"	TRUE
"AVir"	0.164422	12	5.91164313584738	3.01852366074174e-05	"Huttwil"	FALSE
"BPen"	136.351529	13	4.66257804432037	0.0250319492808026	"Huttwil"	TRUE
"CAve"	0.64424	16	3.86108071747658	0.000118272109766105	"Huttwil"	FALSE
"CBet"	117.993234	14	3.4407273141339	0.0216616613735654	"Huttwil"	TRUE
"CSat"	333.880247	15	3.63557912119768	0.0612950472214056	"Huttwil"	TRUE
"FExc"	263.140126	18	3.50445226944713	0.0483082979419763	"Huttwil"	TRUE
"FSyl"	281.913122	17	3.84390347447605	0.0517547182877335	"Huttwil"	TRUE
"LDec"	459.915136	1	5.12023310117073	0.0844330272073843	"Huttwil"	TRUE
"PAbi"	360.164719	2	4.54005779679717	0.0661204538362202	"Huttwil"	TRUE
"PCem"	193.669234	3	5.43859590321483	0.0355545587078814	"Huttwil"	TRUE
"PMon"	94.306146	4	5.66081750476897	0.0173130927159604	"Huttwil"	TRUE
"PNig"	213.548406	19	4.25789614695819	0.0392040551887632	"Huttwil"	TRUE
"PSyl"	256.608569	5	4.32814443523422	0.0471092090520477	"Huttwil"	TRUE
"PTre"	79.635163	20	3.96304498896519	0.0146197360293954	"Huttwil"	TRUE
"QPet"	350.56445	21	3.86628219362894	0.0643579987434719	"Huttwil"	TRUE
"QPub"	188.38388	22	4.08073778979974	0.0345842526597616	"Huttwil"	TRUE
"QRob"	311.320445	23	4.54173654409529	0.0571534301556451	"Huttwil"	TRUE
"SAlb"	169.190421	24	3.90985874801175	0.0310606420648913	"Huttwil"	TRUE
"SAri"	30.128234	25	4.02463010421773	0.00553105954102028	"Huttwil"	TRUE
"SAuc"	11.482412	26	3.8505448569429	0.0021079862977208	"Huttwil"	TRUE
"TBac"	345.570379	6	5.59937170768693	0.0634411675726478	"Huttwil"	TRUE
"TCor"	196.002465	27	3.91611390270515	0.0359829024197616	"Huttwil"	TRUE
"TPla"	194.442119	28	4.10423678579605	0.0356964479720634	"Huttwil"	TRUE
"UGla"	148.130992	29	4.13823208797057	0.0271944693679158	"Huttwil"	TRUE
"AAlb"	17.755075	0	5.45088151904219	0.00665420515014984	"Schwerin"	TRUE
"ACam"	18.066343	7	3.70032665350851	0.00677086143736219	"Schwerin"	TRUE
"AGlu"	0.160666	10	4.08238233777311	6.02140247030201e-05	"Schwerin"	FALSE
"AInc"	0.321138	11	4.20036271601683	0.000120355342543403	"Schwerin"	FALSE
"APla"	32.688534	8	3.96011541644128	0.0122509317079003	"Schwerin"	TRUE
"APse"	88.64264	9	3.51845846677564	0.0332212796403776	"Schwerin"	TRUE
"AVir"	0.080119	12	5.91164313584738	3.00268099360242e-05	"Schwerin"	FALSE
"BPen"	22.008841	13	4.66257804432037	0.00824842154319421	"Schwerin"	TRUE
"CAve"	0.509351	16	3.86108071747658	0.000190893366963191	"Schwerin"	FALSE
"CBet"	56.796535	14	3.4407273141339	0.0212860714870349	"Schwerin"	TRUE
"CSat"	299.634988	15	3.63557912119768	0.112296494400316	"Schwerin"	TRUE
"FExc"	5.711741	18	3.50445226944713	0.00214063282630583	"Schwerin"	TRUE
