"site"	"order"	"simul"	"speciesShortName"	"mean_biom_tot"
"GrandeDixence"	"increasing"	1	"LDec"	16.1201897894091
"GrandeDixence"	"increasing"	1	"PAbi"	41.8091997791136
"GrandeDixence"	"increasing"	1	"PCem"	163.537715524477
"GrandeDixence"	"increasing"	1	"PMon"	0.0972904450625
"GrandeDixence"	"increasing"	2	"LDec"	29.5266946190455
"GrandeDixence"	"increasing"	2	"PAbi"	41.4004131702273
"GrandeDixence"	"increasing"	2	"PCem"	165.592336386818
"GrandeDixence"	"increasing"	3	"LDec"	34.6807705934773
"GrandeDixence"	"increasing"	3	"PAbi"	41.6148570372955
"GrandeDixence"	"increasing"	3	"PCem"	157.11262456875
"GrandeDixence"	"increasing"	4	"LDec"	34.1999840410682
"GrandeDixence"	"increasing"	4	"PAbi"	37.8857944576818
"GrandeDixence"	"increasing"	4	"PCem"	179.081828283023
"GrandeDixence"	"increasing"	5	"LDec"	33.5480424976136
"GrandeDixence"	"increasing"	5	"PAbi"	38.7063391297727
"GrandeDixence"	"increasing"	5	"PCem"	170.006892260205
"GrandeDixence"	"increasing"	6	"LDec"	25.87023778875
"GrandeDixence"	"increasing"	6	"PAbi"	37.6910066134773
"GrandeDixence"	"increasing"	6	"PCem"	171.344358862318
"GrandeDixence"	"increasing"	7	"LDec"	33.3805915449773
"GrandeDixence"	"increasing"	7	"PAbi"	40.1767128491136
"GrandeDixence"	"increasing"	7	"PCem"	166.351684347295
"GrandeDixence"	"increasing"	8	"LDec"	28.93133315825
"GrandeDixence"	"increasing"	8	"PAbi"	37.6670084910227
"GrandeDixence"	"increasing"	8	"PCem"	170.857851067091
"GrandeDixence"	"increasing"	9	"LDec"	22.0913788218182
"GrandeDixence"	"increasing"	9	"PAbi"	39.9877447344545
"GrandeDixence"	"increasing"	9	"PCem"	171.356705254886
"GrandeDixence"	"increasing"	10	"LDec"	19.8117409090909
"GrandeDixence"	"increasing"	10	"PAbi"	39.0172390842273
"GrandeDixence"	"increasing"	10	"PCem"	178.875930060545
"GrandeDixence"	"increasing"	11	"LDec"	27.7717910442045
"GrandeDixence"	"increasing"	11	"PAbi"	39.1837874967727
"GrandeDixence"	"increasing"	11	"PCem"	183.553602608636
"GrandeDixence"	"increasing"	12	"LDec"	24.7467285234545
"GrandeDixence"	"increasing"	12	"PAbi"	38.5744507425455
"GrandeDixence"	"increasing"	12	"PCem"	183.841006189841
"GrandeDixence"	"increasing"	13	"LDec"	33.294007268
"GrandeDixence"	"increasing"	13	"PAbi"	42.9152042229318
"GrandeDixence"	"increasing"	13	"PCem"	157.374778283841
"GrandeDixence"	"increasing"	13	"PMon"	0.120294037857143
"GrandeDixence"	"increasing"	14	"LDec"	28.0443889300455
"GrandeDixence"	"increasing"	14	"PAbi"	41.5942756988636
"GrandeDixence"	"increasing"	14	"PCem"	166.908743260659
"GrandeDixence"	"increasing"	15	"LDec"	26.8863263346591
"GrandeDixence"	"increasing"	15	"PAbi"	38.2339272166591
"GrandeDixence"	"increasing"	15	"PCem"	174.102116261045
"GrandeDixence"	"increasing"	16	"LDec"	22.9008302910909
"GrandeDixence"	"increasing"	16	"PAbi"	40.4190088427955
"GrandeDixence"	"increasing"	16	"PCem"	178.573887760409
"GrandeDixence"	"increasing"	17	"LDec"	26.8191319838864
"GrandeDixence"	"increasing"	17	"PAbi"	42.0976313833409
"GrandeDixence"	"increasing"	17	"PCem"	160.464624847
"GrandeDixence"	"increasing"	18	"LDec"	27.3184072414773
"GrandeDixence"	"increasing"	18	"PAbi"	40.6873442545682
"GrandeDixence"	"increasing"	18	"PCem"	166.847564768045
"GrandeDixence"	"increasing"	19	"LDec"	41.2640175578636
"GrandeDixence"	"increasing"	19	"PAbi"	39.2744545643864
"GrandeDixence"	"increasing"	19	"PCem"	165.827356629136
"GrandeDixence"	"increasing"	20	"LDec"	30.1113412227955
"GrandeDixence"	"increasing"	20	"PAbi"	38.5827050065227
"GrandeDixence"	"increasing"	20	"PCem"	177.992857212523
"GrandeDixence"	"increasing"	21	"LDec"	35.8711346321591
"GrandeDixence"	"increasing"	21	"PAbi"	40.83573603225
"GrandeDixence"	"increasing"	21	"PCem"	157.403492115568
"GrandeDixence"	"increasing"	22	"LDec"	37.2580521600227
"GrandeDixence"	"increasing"	22	"PAbi"	39.5166472664091
"GrandeDixence"	"increasing"	22	"PCem"	166.621942834955
"GrandeDixence"	"increasing"	23	"LDec"	49.5542902403636
"GrandeDixence"	"increasing"	23	"PCem"	258.973437493659
"GrandeDixence"	"increasing"	24	"LDec"	60.7892960399773
"GrandeDixence"	"increasing"	24	"PCem"	248.727968465886
"GrandeDixence"	"increasing"	24	"PMon"	0.142626566727273
"GrandeDixence"	"increasing"	25	"LDec"	60.3094556655
"GrandeDixence"	"increasing"	25	"PCem"	256.666290847023
"GrandeDixence"	"increasing"	26	"PCem"	287.4156918345
"GrandeDixence"	"increasing"	26	"PMon"	0.637698626863636
"GrandeDixence"	"increasing"	27	"AVir"	1.19321627409091
"GrandeDixence"	"increasing"	27	"PMon"	37.0928327387955
"GrandeDixence"	"increasing"	28	"AVir"	1.17934919045455
"GrandeDixence"	"increasing"	28	"PMon"	38.6927595228409
"GrandeDixence"	"increasing"	29	"AVir"	1.12035346252273
"GrandeDixence"	"increasing"	29	"PMon"	38.6257224946591
"GrandeDixence"	"increasing"	30	"AVir"	2.74502370190909
"GrandeDixence"	"decreasing"	1	"LDec"	29.4037965915
"GrandeDixence"	"decreasing"	1	"PAbi"	38.9589550957273
"GrandeDixence"	"decreasing"	1	"PCem"	176.657694308318
"GrandeDixence"	"decreasing"	1	"PMon"	0.112331174291667
"GrandeDixence"	"decreasing"	2	"LDec"	34.6528158480682
"GrandeDixence"	"decreasing"	2	"PAbi"	40.4719308260909
"GrandeDixence"	"decreasing"	2	"PCem"	165.282476694841
"GrandeDixence"	"decreasing"	2	"PMon"	0.08768194746875
"GrandeDixence"	"decreasing"	3	"LDec"	34.1486198150909
"GrandeDixence"	"decreasing"	3	"PAbi"	39.1038131157273
"GrandeDixence"	"decreasing"	3	"PCem"	174.530839162023
"GrandeDixence"	"decreasing"	4	"LDec"	33.0294087337727
"GrandeDixence"	"decreasing"	4	"PAbi"	40.2418081908636
"GrandeDixence"	"decreasing"	4	"PCem"	171.7627236315
"GrandeDixence"	"decreasing"	5	"LDec"	29.4069803419318
"GrandeDixence"	"decreasing"	5	"PAbi"	39.1027452578864
"GrandeDixence"	"decreasing"	5	"PCem"	172.801945364591
"GrandeDixence"	"decreasing"	6	"LDec"	124.146883807386
"GrandeDixence"	"decreasing"	6	"PAbi"	59.0464245845227
"GrandeDixence"	"decreasing"	7	"PAbi"	83.6038854439318
"GrandeDixence"	"decreasing"	8	"PAbi"	84.2397203415909
"GrandeDixence"	"decreasing"	9	"PAbi"	87.9194053049546
"GrandeDixence"	"decreasing"	10	"AInc"	0.00400919733333333
"GrandeDixence"	"decreasing"	10	"PNig"	0.00104378354166667
"GrandeDixence"	"decreasing"	10	"PSyl"	0.00769680471428571
"GrandeDixence"	"decreasing"	10	"PTre"	0.00431377022222222
"GrandeDixence"	"decreasing"	10	"SAuc"	0.106841398659091
"GrandeDixence"	"decreasing"	11	"AInc"	0.00421806278125
"GrandeDixence"	"decreasing"	11	"PNig"	0.00110546708333333
"GrandeDixence"	"decreasing"	11	"PTre"	0.004446159375
"GrandeDixence"	"decreasing"	11	"SAuc"	0.10272638
"GrandeDixence"	"decreasing"	12	"AInc"	0.00328000580555556
"GrandeDixence"	"decreasing"	12	"PTre"	0.00465042953125
"GrandeDixence"	"decreasing"	12	"SAuc"	0.105191748090909
"GrandeDixence"	"decreasing"	13	"PTre"	0.0043025450625
"GrandeDixence"	"decreasing"	13	"SAuc"	0.103555515522727
"GrandeDixence"	"decreasing"	14	"PTre"	0.00386575319444444
"GrandeDixence"	"decreasing"	14	"SAuc"	0.1034564065
"GrandeDixence"	"decreasing"	15	"PTre"	0.0043893765625
"GrandeDixence"	"decreasing"	15	"SAuc"	0.1069618665
"GrandeDixence"	"decreasing"	16	"PTre"	0.00441872059375
"GrandeDixence"	"decreasing"	16	"SAuc"	0.104502770272727
"GrandeDixence"	"decreasing"	17	"PTre"	0.00396938440625
"GrandeDixence"	"decreasing"	17	"SAuc"	0.104617864113636
"GrandeDixence"	"decreasing"	18	"PTre"	0.0045390095
"GrandeDixence"	"decreasing"	18	"SAuc"	0.10520294475
"GrandeDixence"	"decreasing"	19	"SAuc"	0.105824064818182
"GrandeDixence"	"decreasing"	20	"SAuc"	0.106417973818182
"GrandeDixence"	"decreasing"	21	"SAuc"	0.106259205636364
"GrandeDixence"	"decreasing"	22	"SAuc"	0.102628454477273
"GrandeDixence"	"decreasing"	23	"SAuc"	0.103010853159091
"GrandeDixence"	"decreasing"	24	"SAuc"	0.10162695375
"GrandeDixence"	"decreasing"	24	"SAuc"	0.10162695375
"GrandeDixence"	"decreasing"	24	"SAuc"	0.10162695375
"GrandeDixence"	"decreasing"	24	"SAuc"	0.10162695375
"GrandeDixence"	"decreasing"	24	"SAuc"	0.10162695375
